Part_Number,Part_Name,Category,Current_Stock,Unit_Cost,Lead_Time_Days,Monthly_Demand
A0046,Navigation Unit,Electronics,25,3236,30,48
A0047,Landing Gear Bolt,Avionics,394,4267,16,95
A0048,Electrical Harness,Avionics,81,4965,8,71
A0049,Compressor Blade,Avionics,475,3123,24,24
A0050,Electrical Harness,Electronics,158,2907,9,81
A0051,Cockpit Display,Hydraulics,24,1944,10,13
A0052,Cockpit Display,Engine,379,3624,9,69
A0053,Hydraulic Actuator,Landing Gear,234,405,29,47
A0054,Electrical Harness,Landing Gear,108,3933,11,86
A0055,Avionics Sensor,Engine,460,2476,25,91
A0056,Navigation Unit,Hydraulics,250,1244,5,85
A0057,Electrical Harness,Fuel System,383,4593,28,92
A0058,Turbine Blade,Engine,427,2350,18,100
A0059,Compressor Blade,Hydraulics,212,1855,8,49
A0060,Hydraulic Pump,Hydraulics,51,218,11,87
A0061,Brake Assembly,Hydraulics,153,1366,26,17
A0062,Engine Filter,Avionics,45,3885,12,59
A0063,Turbine Blade,Hydraulics,499,854,28,35
A0064,Fuel Control Valve,Electronics,237,3036,13,36
A0065,Navigation Unit,Fuel System,490,1002,21,21
A0066,Electrical Harness,Engine,340,4319,15,9
A0067,Engine Filter,Landing Gear,490,1926,18,82
A0068,Fuel Control Valve,Fuel System,377,3199,28,6
A0069,Avionics Sensor,Avionics,182,3438,23,96
A0070,Brake Assembly,Engine,95,1653,6,34
A0071,Avionics Sensor,Hydraulics,395,393,6,50
A0072,Landing Gear Bolt,Landing Gear,412,4519,22,45
A0073,Hydraulic Actuator,Avionics,470,411,16,61
A0074,Wing Fastener,Hydraulics,26,2035,22,69
A0075,Compressor Blade,Fuel System,126,1149,19,77
A0076,Turbine Blade,Electronics,239,857,23,53
A0077,Brake Assembly,Engine,60,2406,16,65
A0078,Fuel Control Valve,Hydraulics,344,4768,9,55
A0079,Fuel Control Valve,Engine,103,3885,18,18
A0080,Wing Fastener,Landing Gear,443,288,9,91
A0081,Compressor Blade,Engine,425,964,27,8
A0082,Wing Fastener,Engine,348,3377,29,28
A0083,Avionics Sensor,Engine,425,1366,30,52
A0084,Compressor Blade,Avionics,365,3706,21,83
A0085,Avionics Sensor,Electronics,485,89,24,79
A0086,Radar Module,Electronics,108,4047,29,89
A0087,Radar Module,Landing Gear,372,3077,10,6
A0088,Radar Module,Fuel System,343,766,21,85
A0089,Brake Assembly,Landing Gear,15,4431,28,9
A0090,Fuel Control Valve,Engine,226,2242,28,47
A0091,Fuel Control Valve,Fuel System,365,3102,16,9
A0092,Hydraulic Pump,Hydraulics,292,1615,22,54
A0093,Wing Fastener,Fuel System,468,1061,22,35
A0094,Hydraulic Pump,Avionics,126,1856,14,27
A0095,Pressure Sensor,Electronics,159,530,23,26
A0096,Radar Module,Hydraulics,284,1320,30,72
A0097,Fuel Control Valve,Engine,248,1121,16,22
A0098,Radar Module,Landing Gear,333,3130,26,50
A0099,Pressure Sensor,Landing Gear,472,2122,12,30
A0100,Landing Gear Bolt,Hydraulics,301,1141,14,5
A0101,Compressor Blade,Hydraulics,110,628,21,89
A0102,Compressor Blade,Avionics,66,1241,8,72
A0103,Landing Gear Bolt,Hydraulics,66,1768,8,82
A0104,Engine Filter,Hydraulics,324,2122,11,20
A0105,Radar Module,Landing Gear,240,4338,7,98
A0106,Hydraulic Actuator,Avionics,432,4936,13,48
A0107,Engine Filter,Landing Gear,283,1062,22,9
A0108,Radar Module,Landing Gear,496,4168,8,49
A0109,Engine Filter,Fuel System,455,3896,15,21
A0110,Hydraulic Actuator,Engine,270,3122,10,62
A0111,Radar Module,Fuel System,442,3382,8,20
A0112,Radar Module,Fuel System,70,2485,19,61
A0113,Hydraulic Actuator,Electronics,334,2927,28,65
A0114,Avionics Sensor,Avionics,284,1130,13,69
A0115,Pressure Sensor,Landing Gear,134,4223,19,97
A0116,Compressor Blade,Avionics,120,4021,9,63
A0117,Wing Fastener,Engine,94,1855,10,14
A0118,Radar Module,Electronics,38,2298,6,32
A0119,Compressor Blade,Engine,334,4261,16,49
A0120,Hydraulic Actuator,Landing Gear,89,2292,11,36
A0121,Compressor Blade,Hydraulics,44,1519,27,57
A0122,Turbine Blade,Landing Gear,221,1278,26,40
A0123,Cockpit Display,Avionics,122,2307,14,44
A0124,Electrical Harness,Electronics,340,4062,5,68
A0125,Brake Assembly,Hydraulics,289,3476,19,100
A0126,Pressure Sensor,Fuel System,333,1456,17,28
A0127,Electrical Harness,Hydraulics,307,1332,5,45
A0128,Fuel Control Valve,Fuel System,64,333,17,27
A0129,Brake Assembly,Landing Gear,11,3767,12,81
A0130,Fuel Control Valve,Fuel System,161,3840,12,44
A0131,Fuel Control Valve,Avionics,265,724,19,11
A0132,Turbine Blade,Landing Gear,100,3908,20,48
A0133,Navigation Unit,Electronics,138,4815,27,44
A0134,Fuel Control Valve,Landing Gear,353,4633,14,22
A0135,Hydraulic Pump,Avionics,250,2137,9,75
A0136,Engine Filter,Electronics,421,3084,29,53
A0137,Fuel Control Valve,Landing Gear,358,4851,20,88
A0138,Navigation Unit,Avionics,278,2248,25,57
A0139,Landing Gear Bolt,Engine,212,2436,30,68
A0140,Radar Module,Fuel System,249,488,15,36
A0141,Compressor Blade,Hydraulics,274,659,9,13
A0142,Wing Fastener,Hydraulics,22,2175,17,79
A0143,Brake Assembly,Fuel System,386,3390,7,90
A0144,Navigation Unit,Hydraulics,66,1807,16,7
A0145,Hydraulic Pump,Hydraulics,133,3705,7,92
A0146,Fuel Control Valve,Hydraulics,435,1830,8,53
A0147,Electrical Harness,Landing Gear,435,2048,22,7
A0148,Wing Fastener,Electronics,164,472,24,50
A0149,Turbine Blade,Hydraulics,394,4891,24,77
A0150,Wing Fastener,Electronics,312,4725,12,73
A0151,Hydraulic Actuator,Hydraulics,472,3839,22,28
A0152,Compressor Blade,Hydraulics,345,4886,9,92
A0153,Avionics Sensor,Electronics,468,2404,27,15
A0154,Navigation Unit,Electronics,393,2231,9,20
A0155,Navigation Unit,Landing Gear,172,568,12,92
A0156,Electrical Harness,Avionics,199,1249,29,98
A0157,Navigation Unit,Landing Gear,468,3257,10,38
A0158,Pressure Sensor,Electronics,453,1465,15,76
A0159,Hydraulic Pump,Electronics,167,2075,26,25
A0160,Pressure Sensor,Electronics,356,3795,14,63
A0161,Fuel Control Valve,Fuel System,52,3001,12,54
A0162,Fuel Control Valve,Landing Gear,273,4156,14,13
A0163,Wing Fastener,Landing Gear,381,478,16,29
A0164,Compressor Blade,Hydraulics,284,968,19,56
A0165,Landing Gear Bolt,Electronics,279,3204,18,64
A0166,Wing Fastener,Electronics,26,4569,8,99
A0167,Wing Fastener,Engine,321,4912,5,75
A0168,Radar Module,Fuel System,414,2583,22,60
A0169,Navigation Unit,Avionics,390,1427,24,97
A0170,Navigation Unit,Hydraulics,30,3195,8,65
A0171,Radar Module,Avionics,347,758,17,74
A0172,Landing Gear Bolt,Fuel System,331,4093,7,83
A0173,Fuel Control Valve,Engine,134,3781,10,43
A0174,Avionics Sensor,Fuel System,113,4218,28,28
A0175,Radar Module,Avionics,412,3736,6,6
A0176,Hydraulic Pump,Fuel System,280,114,10,79
A0177,Brake Assembly,Fuel System,11,4582,13,54
A0178,Fuel Control Valve,Engine,357,4420,24,23
A0179,Hydraulic Pump,Landing Gear,421,357,12,51
A0180,Engine Filter,Electronics,150,4847,20,42
A0181,Pressure Sensor,Avionics,484,1392,17,8
A0182,Wing Fastener,Hydraulics,85,208,23,21
A0183,Hydraulic Actuator,Electronics,245,4060,29,43
A0184,Wing Fastener,Electronics,242,2037,16,87
A0185,Electrical Harness,Avionics,197,4485,22,25
A0186,Turbine Blade,Hydraulics,83,3956,6,45
A0187,Engine Filter,Engine,129,3728,6,65
A0188,Engine Filter,Fuel System,14,293,17,78
A0189,Cockpit Display,Electronics,472,3618,8,46
A0190,Landing Gear Bolt,Hydraulics,90,1998,26,53
A0191,Navigation Unit,Electronics,481,3540,25,34
A0192,Hydraulic Pump,Electronics,486,1383,11,12
A0193,Hydraulic Pump,Fuel System,106,3834,18,18
A0194,Engine Filter,Landing Gear,34,1877,7,48
A0195,Pressure Sensor,Engine,337,3157,14,36
A0196,Hydraulic Actuator,Avionics,499,4690,30,19
A0197,Radar Module,Electronics,155,3152,24,23
A0198,Fuel Control Valve,Landing Gear,270,3700,9,89
A0199,Wing Fastener,Hydraulics,111,4116,8,45
A0200,Avionics Sensor,Electronics,308,2528,5,30
